Nama Jurnal,ISSN,SJR,H-Index,Bidang Ilmu,Quartil
Solar-Terrestrial Physics,25000535,0.204,8,Atmospheric Science,Q4
Studi Emigrazione,00392936,0.204,12,Arts and Humanities,Q2
Surveys in Mathematics and its Applications,18437265,0.204,8,Applied Mathematics,Q4
Sustainability in Debate,21777675,0.204,9,Development,Q3
Tappi Journal,07341415,0.204,49,Chemical Engineering,Q3
Tierarztliche Praxis Ausgabe K: Kleintiere - Heimtiere,14341239,0.204,25,Small Animals,Q3
Tractors and Agricultural Machinery,2782425X,0.204,4,Agronomy and Crop Science,Q3
TRaNS: Trans-Regional and -National Studies of Southeast Asia,2051364X,0.204,17,History,Q1
Two Centuries of the Russian Classics,26867494,0.204,4,Literature and Literary Theory,Q1
Ukrainian Antarctic Journal,24153087,0.204,6,Agricultural and Biological Sciences,Q3
Acta Bioethica,1726569X,0.203,12,Health Policy,Q4
Alauda,00024619,0.203,17,Animal Science and Zoology,Q4
Analise Psicologica,08708231,0.203,14,Education,Q4
Arabian Journal of Medicinal and Aromatic Plants,24585920,0.203,8,Complementary and Alternative Medicine,Q3
Archives of Pediatric Infectious Diseases,23221836,0.203,17,"Pediatrics, Perinatology and Child Health",Q3
Argumenta,24652334,0.203,5,Linguistics and Language,Q2
Atlantic Economic Journal,01974254,0.203,30,"Economics, Econometrics and Finance",Q3
Baltica,00673064,0.203,21,Earth and Planetary Sciences,Q4
Brill's Studies in Historical Linguistics,22114904,0.203,4,Linguistics and Language,Q2
Cailiao Daobao/Materials Review,1005023X,0.203,21,Materials Science,Q4
Canadian Journal of Educational Administration and Policy,12077798,0.203,6,Education,Q4
China Journal of Econometrics,20972326,0.203,6,"Economics, Econometrics and Finance",Q3
Chinese Circulation Journal,10003614,0.203,12,Cardiology and Cardiovascular Medicine,Q4
Congenital Heart Disease,17470803,0.203,60,"Pediatrics, Perinatology and Child Health",Q3
Dialog,00122033,0.203,9,Religious Studies,Q2
European Journal of Pragmatism and American Philosophy,20364091,0.203,6,Philosophy,Q2
European Public Law,13543725,0.203,10,Law,Q3
Explorations in Media Ecology,15397785,0.203,5,Cultural Studies,Q2
"Geomorphologie: Relief, Processus, Environnement",12665304,0.203,26,Earth-Surface Processes,Q3
Indonesian Journal of Pharmacy,23389486,0.203,12,Pharmaceutical Science,Q3
Informes de la Construccion,00200883,0.203,23,Architecture,Q2
International Journal of Business and Emerging Markets,17536227,0.203,9,Business and International Management,Q4
International Journal of Childbirth,21565295,0.203,7,Maternity and Midwifery,Q3
International Journal of Reliable and Quality E-Healthcare,21609551,0.203,9,Medical Laboratory Technology,Q3
International Studies,09730702,0.203,20,"Geography, Planning and Development",Q3
Journal of Conservation and Museum Studies,20494572,0.203,4,Conservation,Q2
Journal of Geography (Chigaku Zasshi),0022135X,0.203,7,Earth-Surface Processes,Q3
Journal of Inborn Errors of Metabolism and Screening,23264098,0.203,15,"Pediatrics, Perinatology and Child Health",Q3
Journal of Krishna Institute of Medical Sciences University,22314261,0.203,13,Medicine,Q4
Journal of Language Relationship,22193820,0.203,6,Linguistics and Language,Q2
Journal of Marine and Island Cultures,22126821,0.203,21,Cultural Studies,Q2
Journal of Materials Engineering,10014381,0.203,24,Metals and Alloys,Q3
Journal of Popular Film and Television,19306458,0.203,23,Visual Arts and Performing Arts,Q1
Letters in Organic Chemistry,15701786,0.203,33,Biochemistry,Q4
Libri (Turkey),24587826,0.203,3,Classics,Q1
Magnificat Cultura i Literatura Medievals,23868295,0.203,4,History,Q1
Microbiology and Biotechnology Letters,22347305,0.203,23,Applied Microbiology and Biotechnology,Q4
Music Reference Services Quarterly,10588167,0.203,11,Music,Q2
Nigerian Journal of Economic and Social Studies,00290092,0.203,6,Finance,Q3
Nuclear Energy and Technology,24523038,0.203,6,Nuclear and High Energy Physics,Q3
Observatorio,16465954,0.203,16,Communication,Q3
Pakistan Journal of Agricultural Sciences,20760906,0.203,33,Agronomy and Crop Science,Q3
Pertanika Journal of Science and Technology,01287680,0.203,30,Agricultural and Biological Sciences,Q3
Prescrire International,11677422,0.203,14,Pharmacology,Q3
Prilozi Instituta za Arheologiju,13300644,0.203,12,History,Q1
Proceedings of the International Association of Hydrological Sciences,2199899X,0.203,20,Earth and Planetary Sciences,-
Proceedings of the International Conference on Speech Prosody,23332042,0.203,24,Linguistics and Language,-
"Proceedings of the National Academy of Sciences of Belarus, Chemical Series",15618331,0.203,4,Chemistry,Q3
Pteridines,21954720,0.203,19,Biochemistry,Q4
Publicaciones de la Facultad de Educacion y Humanidades del Campus de Melilla,25309269,0.203,12,Developmental and Educational Psychology,Q4
Quality - Access to Success,15822559,0.203,28,Business and International Management,Q4
Revista Cartografica,00802085,0.203,5,Computers in Earth Sciences,Q4
Revista de Metalurgia,00348570,0.203,24,Metals and Alloys,Q3
Revue de l'Infirmiere,12938505,0.203,11,Nursing,Q3
Romanian Journal of Communication and Public Relations,23445440,0.203,10,Communication,Q3
RUSI Journal,17440378,0.203,28,Political Science and International Relations,Q3
Scire,11353716,0.203,6,Communication,Q3
SEPM Special Publications,1060071X,0.203,27,Geology,Q4
Siberian Historical Research,23124628,0.203,7,History,Q1
Siriraj Medical Journal,2629995X,0.203,9,Medicine,Q4
Small Axe,15346714,0.203,9,Literature and Literary Theory,Q1
System Research and Information Technologies,16816048,0.203,7,Applied Mathematics,Q4
Theoretical Inquiries in Law,15651509,0.203,36,Law,Q3
Transfers,20454821,0.203,15,Transportation,Q4
Volumina Jurassica,18967876,0.203,8,Geology,Q4
Zeitschrift fur Kristallographie - New Crystal Structures,14337266,0.203,39,Condensed Matter Physics,Q4
Advances in Technology Innovation,25182994,0.202,9,Engineering,Q3
Anaesthesia Reports,26373726,0.202,9,Anesthesiology and Pain Medicine,Q3
"Annals of ""Dunarea de Jos"" University of Galati, Fascicle XII, Welding Equipment and Technology",12214639,0.202,9,Mechanical Engineering,Q4
Banko Janakari,26312301,0.202,6,Forestry,Q3
Chinese Journal of Radiological Health,1004714X,0.202,8,"Public Health, Environmental and Occupational Health",Q4
Chinese Medicine and Culture,25899473,0.202,6,Cultural Studies,Q2
Clinical Lactation,21580782,0.202,7,Obstetrics and Gynecology,Q3
Con-textos Kantianos,23867655,0.202,5,Philosophy,Q2
Dance Research Journal,01497677,0.202,27,Visual Arts and Performing Arts,Q1
EAI Endorsed Transactions on Energy Web,2032944X,0.202,17,Control and Systems Engineering,Q4
Electronic Journal of Structural Engineering,14439255,0.202,25,Civil and Structural Engineering,Q4
Environmental and Occupational Health Practice,24344931,0.202,6,Epidemiology,Q4
European Convention on Human Rights Law Review,26663236,0.202,5,Law,Q3
Expository Times,00145246,0.202,10,Religious Studies,Q2
"Ferroelectrics, Letters Section",15635228,0.202,21,Condensed Matter Physics,Q4
Gerion,02130181,0.202,4,Classics,Q1
Iberoamerican Journal of Development Studies,22542035,0.202,10,History,Q2
Information and Control,10020411,0.202,14,Artificial Intelligence,Q4
InterEULawEast,18493734,0.202,7,Law,Q3
International Journal of Electronic Security and Digital Forensics,17519128,0.202,19,Law,Q3
International Journal of Electronics Letters,21681732,0.202,16,Computer Networks and Communications,Q4
International Journal of High Dilution Research,19826206,0.202,10,Complementary and Alternative Medicine,Q3
International Journal of Surface Science and Engineering,1749785X,0.202,23,Mechanical Engineering,Q4
"Journal of Agriculture and Rural Development in the Tropics and Subtropics, Supplement",16138422,0.202,6,Agronomy and Crop Science,Q3
Journal of Applied Veterinary Sciences,16874072,0.202,7,Veterinary,Q3
Journal of Arthroscopy and Joint Surgery,22149635,0.202,10,Orthopedics and Sports Medicine,Q4
Journal of Bacteriology and Virology,15982467,0.202,15,Immunology,Q4
Journal of British Studies,00219371,0.202,46,Cultural Studies,Q2
Journal of Health Care Finance,10786767,0.202,28,Health Policy,Q4
Journal of Russian Laser Research,10712836,0.202,29,Engineering,Q3
Journal of Sustainability Science and Management,26727226,0.202,24,"Geography, Planning and Development",Q3
Journal of the Professional Association for Cactus Development,1938663X,0.202,22,Horticulture,Q3
Journal of Tropical Biodiversity and Biotechnology,25409573,0.202,9,Agricultural and Biological Sciences,Q3
Jurnal Pendidikan Agama Islam,18295746,0.202,5,Arts and Humanities,Q2
Jurnal Pengelolaan Sumberdaya Alam dan Lingkungan,24605824,0.202,10,Agricultural and Biological Sciences,Q3
Juvenile and Family Court Journal,01617109,0.202,24,Law,Q3
Korea Journal,00233900,0.202,13,Literature and Literary Theory,Q1
Malaysian Online Journal of Educational Management,22894489,0.202,9,Education,Q4
Media e Jornalismo,16455681,0.202,6,Cultural Studies,Q2
Medical Writing,20474814,0.202,7,Medical Terminology,Q4
Monumenta Serica,02549948,0.202,12,History,Q1
Neuroscience Research Notes,2576828X,0.202,7,Cellular and Molecular Neuroscience,Q4
New Review of Information Networking,13614576,0.202,16,Computer Networks and Communications,Q4
Nippon Suisan Gakkaishi,00215392,0.202,28,Aquatic Science,Q4
Odonatologica,03750183,0.202,27,Insect Science,Q4
Pakistan Journal of Pharmaceutical Sciences,1011601X,0.202,50,Pharmaceutical Science,Q3
Pakistan Journal of Zoology,00309923,0.202,36,Animal Science and Zoology,Q4
PASAA,22870024,0.202,10,Linguistics and Language,Q2
Philippine Journal of Science,00317683,0.202,24,Multidisciplinary,Q3
Problemy Osobo Opasnykh Infektsii,2658719X,0.202,11,Epidemiology,Q4
Proceedings of Institution of Civil Engineers: Energy,17514231,0.202,28,Energy Engineering and Power Technology,Q4
Proceedings of RAGtime,23365668,0.202,5,Astronomy and Astrophysics,-
Proceedings of the National Academy of Sciences of Belarus. Physics and Mathematics Series,15612430,0.202,4,Computational Theory and Mathematics,Q4
Revista Brasileira de Alternative Dispute Resolution,25963201,0.202,8,Law,Q3
Revista Contabilidade e Financas,1808057X,0.202,13,Accounting,Q4
Revista de Investigacion en Logopedia,21745218,0.202,10,Linguistics and Language,Q2
Revista Mexicana de Sociologia,25940651,0.202,18,Social Sciences,Q3
Roads and Bridges - Drogi i Mosty,16431618,0.202,14,Building and Construction,Q4
ScienceAsia,15131874,0.202,46,Multidisciplinary,Q3
Series on Biomechanics,13132458,0.202,8,Biomedical Engineering,Q4
Shipin Kexue/Food Science,10026630,0.202,18,Food Science,Q3
Sudebno-Meditsinskaya Ekspertisa,00394521,0.202,10,Anatomy,Q3
Verbum Vitae,2451280X,0.202,5,Religious Studies,Q2
Acta Oeconomica,00016373,0.201,21,"Geography, Planning and Development",Q3
Anuario de Estudios Medievales,19884230,0.201,13,History,Q2
Arab Journal of Mathematical Sciences,13195166,0.201,19,Mathematics,Q4
ArchiDOCT,23090103,0.201,4,Visual Arts and Performing Arts,Q1
Bulletin of the International Association for Paleodontology,18466273,0.201,4,Dentistry,Q3
Carpathian Journal of Food Science and Technology,20666845,0.201,13,Food Science,Q3
Communication in Biomathematical Sciences,25492896,0.201,10,Applied Mathematics,Q4
Concrete Operators,22993282,0.201,8,Analysis,Q4
Darwiniana,00116793,0.201,27,Plant Science,Q4
Drug and Therapeutics Bulletin,00126543,0.201,17,Pharmacology,Q3
Ecology and Industry of Russia,24136042,0.201,15,Ecology,Q4
Entreprises et Histoire,11612770,0.201,11,History,Q2
Financial and Credit Activity: Problems of Theory and Practice,23064994,0.201,12,Accounting,Q4
Forest Engineering,10068023,0.201,8,Forestry,Q3
Frontiers in Heat and Mass Transfer,21518629,0.201,29,Engineering,Q3
Helia,10181806,0.201,25,Agronomy and Crop Science,Q4
Historia i Swiat,29566436,0.201,3,History,Q2
Huanjing Kexue Xuebao / Acta Scientiae Circumstantiae,02532468,0.201,37,Environmental Chemistry,Q4
India Review,14736489,0.201,17,Political Science and International Relations,Q3
Internasjonal Politikk,18911757,0.201,9,Political Science and International Relations,Q3
International Journal of Cancer Management,25384422,0.201,28,Pharmacology,Q3
"International Journal of Oil, Gas and Coal Technology",17533309,0.201,23,Energy,Q4
International Journal of Value Chain Management,17415365,0.201,18,Computer Science Applications,Q4
Internetworking Indonesia Journal,19429703,0.201,11,Computer Science,Q4
Iran and the Caucasus,16098498,0.201,16,Cultural Studies,Q2
Israel Studies,10849513,0.201,9,Cultural Studies,Q2
Journal of Aeronautical Materials,10055053,0.201,26,Metals and Alloys,Q3
Journal of Digital Landscape Architecture,2511624X,0.201,12,Architecture,Q2
Journal of International Special Needs Education,21594341,0.201,4,Education,Q4
Journal of Language and Discrimination,23972645,0.201,7,Linguistics and Language,Q2
Journal of Medical Biography,17581087,0.201,17,History and Philosophy of Science,Q3
Journal of Plastination,23117761,0.201,3,Anatomy,Q3
Journal of Radiotherapy in Practice,14603969,0.201,19,Oncology,Q4
Journal of Tourism History,17551838,0.201,14,Cultural Studies,Q2
J-Reading,22814310,0.201,6,Demography,Q3
Klinische Padiatrie,14393824,0.201,50,"Pediatrics, Perinatology and Child Health",Q3
Korean Accounting Review,25087193,0.201,5,Accounting,Q4
Korean Journal of Financial Studies,27135543,0.201,5,"Economics, Econometrics and Finance",Q3
Laparoscopic Surgery,26164221,0.201,5,Surgery,Q3
Lusitania Sacra,21828822,0.201,5,History,Q2
Management Revue,18619908,0.201,16,"Business, Management and Accounting",Q4
Middle Eastern Studies,17437881,0.201,43,Cultural Studies,Q2
Mining Report,21958378,0.201,8,Economic Geology,Q4
Molecular Crystals and Liquid Crystals,15421406,0.201,59,Chemistry,Q3
Muqarnas,09210326,0.201,28,Visual Arts and Performing Arts,Q1
Museologica Brunensia,24645362,0.201,3,Museology,Q2
Museum Worlds,20496737,0.201,6,Conservation,Q2
New Zealand College of Midwives Journal,11783893,0.201,3,Maternity and Midwifery,Q3
Organization Development Journal,08896402,0.201,25,Organizational Behavior and Human Resource Management,Q4
"Orthopaedics, Traumatology and Prosthetics",25181882,0.201,3,Surgery,Q3
Papers of the British School at Rome,00682462,0.201,26,Visual Arts and Performing Arts,Q1
Polish Journal of Chemical Technology,18994741,0.201,32,Chemical Engineering,Q3
Praxema,24089176,0.201,6,Cultural Studies,Q2
Proceedings of the IEEE International Conference on VLSI Design,10639667,0.201,45,Electrical and Electronic Engineering,-
Proceedings of the International Conference on Parallel and Distributed Systems - ICPADS,15219097,0.201,46,Hardware and Architecture,-
Rassegna Italiana di Criminologia,11211717,0.201,11,Law,Q3
Revista Brasileira de Ciencias do Esporte,01013289,0.201,12,Health,Q4
Revista Criminalidad,17943108,0.201,8,Arts and Humanities,Q2
Revista Galega de Economia,11322799,0.201,11,History,Q2
Revista Republicana,19094450,0.201,8,Law,Q3
Revue d'Economie Politique,03732630,0.201,18,Political Science and International Relations,Q3
Rhetoric Review,07350198,0.201,20,Literature and Literary Theory,Q1
Rivista Italiana delle Sostanze Grasse,00356808,0.201,19,Organic Chemistry,Q4
Semergen,15788865,0.201,16,Family Practice,Q3
Shenzhen Daxue Xuebao (Ligong Ban)/Journal of Shenzhen University Science and Engineering,10002618,0.201,14,Engineering,Q3
Sodobna Pedagogika/Journal of Contemporary Educational Studies,00380474,0.201,8,Education,Q4
Sonography,20546750,0.201,8,"Radiology, Nuclear Medicine and Imaging",Q4
Teaching English Language,2538547X,0.201,8,Linguistics and Language,Q2
Turk Geriatri Dergisi,13079948,0.201,18,Geriatrics and Gerontology,Q4
Acta Agrestia Sinica,10070435,0.2,13,Agricultural and Biological Sciences,Q3
Acta Medico-Historica Rigensia,10228012,0.2,2,History,Q2
"Acta Scientiarum Polonorum, Hortorum Cultus",16440692,0.2,31,Horticulture,Q3
Advances in Aircraft and Spacecraft Science,2287528X,0.2,19,Aerospace Engineering,Q4
Advances in Pure and Applied Mathematics,18696090,0.2,16,Mathematics,Q4
Aquichan,16575997,0.2,15,Nursing,Q3
Archaologisches Korrespondenzblatt,0342734X,0.2,17,Archeology,Q2
Archives of Biological Sciences,03544664,0.2,34,Agricultural and Biological Sciences,Q3
"ASEE Annual Conference and Exposition, Conference Proceedings",21535965,0.2,43,Artificial Intelligence,-
Colonial Latin American Review,10609164,0.2,17,Arts and Humanities,Q2
EDPACS,19361009,0.2,15,Computer Networks and Communications,Q4
Egyptian Journal of Otolaryngology,20908539,0.2,10,Otorhinolaryngology,Q3
Energotehnologii i Resursosberezenie,24137723,0.2,4,Energy Engineering and Power Technology,Q4
Estudios Geologicos,19883250,0.2,32,Geology,Q4
Flora Montiberica,11385952,0.2,9,Ecology,Q4
Forest Research,10011498,0.2,20,Forestry,Q3
Functional Materials,22182993,0.2,19,Materials Science,Q4
Glass Physics and Chemistry,1608313X,0.2,33,Ceramics and Composites,Q4
Integrated Ferroelectrics,16078489,0.2,42,Ceramics and Composites,Q4
International Journal of Advanced Mechatronic Systems,17568412,0.2,17,Control and Systems Engineering,Q4
International Journal of Biomedical Engineering and Technology,17526418,0.2,26,Biomedical Engineering,Q4
Iranian Journal of Radiology,20082711,0.2,23,"Radiology, Nuclear Medicine and Imaging",Q4
Jordan Journal of Physics,19947607,0.2,12,Physics and Astronomy,Q4
Journal of Applied and Natural Science,09749411,0.2,11,Agricultural and Biological Sciences,Q3
Journal of Chemical Engineering of Japan,00219592,0.2,54,Chemistry,Q3
Journal of Computer Science,15493636,0.2,38,Artificial Intelligence,Q4
Journal of Cutaneous Immunology and Allergy,25744593,0.2,7,Dermatology,Q3
Journal of Film and Video,07424671,0.2,16,Visual Arts and Performing Arts,Q1
Journal of Radiology Case Reports,19430922,0.2,26,Medical Laboratory Technology,Q3
Journal of Risk,17552842,0.2,15,Finance,Q4
Journal of the Australian and New Zealand Student Services Association,13202480,0.2,9,Education,Q4
Journal of the Geothermal Research Society of Japan,03886735,0.2,7,Geophysics,Q4
Journal of the Indonesian Tropical Animal Agriculture,20878273,0.2,18,Veterinary,Q3
Journal of the Korean Society for Aeronautical and Space Sciences,22876871,0.2,5,Aerospace Engineering,Q4
Jurnal Medik Veteriner,2581012X,0.2,7,Veterinary,Q3
Language and Linguistics,1606822X,0.2,20,Linguistics and Language,Q2
Low Temperature Physics,1063777X,0.2,48,Physics and Astronomy,Q4
Nanjing Hangkong Hangtian Daxue Xuebao/Journal of Nanjing University of Aeronautics and Astronautics,10052615,0.2,23,Aerospace Engineering,Q4
Neurology Perspectives,26670496,0.2,7,Neurology,Q4
Nursing,03604039,0.2,28,Advanced and Specialized Nursing,Q3
Nursing Older People,20478941,0.2,25,Gerontology,Q4
OnLine Journal of Biological Sciences,16084217,0.2,22,Agricultural and Biological Sciences,Q3
Plasma Medicine,19475772,0.2,26,Biomedical Engineering,Q4
Polyolefins Journal,23456868,0.2,9,Catalysis,Q4
Problemy Radiatsiinoi Medytsyny ta Radiobiolohii,23048336,0.2,10,"Radiology, Nuclear Medicine and Imaging",Q4
Proceedings of the International Conference on Computer-Aided Architectural Design Research in Asia,27104265,0.2,5,Architecture,-
Raptor Journal,26445247,0.2,12,Animal Science and Zoology,Q4
Research in African Literatures,15272044,0.2,27,Literature and Literary Theory,Q1
Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte,15770354,0.2,28,"Physical Therapy, Sports Therapy and Rehabilitation",Q4
Revue Economique,00352764,0.2,24,"Economics, Econometrics and Finance",Q3
Ringing and Migration,03078698,0.2,22,Animal Science and Zoology,Q4
Rivista Geografica Italiana,2499748X,0.2,8,"Geography, Planning and Development",Q3
"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia.",13192442,0.2,39,Nephrology,Q3
Semina:Ciencias Agrarias,1676546X,0.2,33,Agricultural and Biological Sciences,Q3
Shenyang Jianzhu Daxue Xuebao (Ziran Kexue Ban)/Journal of Shenyang Jianzhu University (Natural Science),16712021,0.2,16,Multidisciplinary,Q3
Shiyan Liuti Lixue/Journal of Experiments in Fluid Mechanics,16729897,0.2,19,Aerospace Engineering,Q4
South African Journal of Industrial Engineering,1012277X,0.2,26,Industrial and Manufacturing Engineering,Q3
Systemy Logistyczne Wojsk,15085430,0.2,3,Arts and Humanities,Q2
Terapevticheskii Arkhiv,23095342,0.2,24,History,Q2
Turkish Journal of Thoracic and Cardiovascular Surgery,13015680,0.2,14,Surgery,Q3
Ukrainian Journal of Physics,20710186,0.2,22,Physics and Astronomy,Q4
AIBR Revista de Antropologia Iberoamericana,15789705,0.199,12,Cultural Studies,Q2
Annales Mathematicae Silesianae,23914238,0.199,5,Mathematics,Q4
Cato Journal,02733072,0.199,34,"Economics, Econometrics and Finance",Q3
Chinese Journal of Disease Control and Prevention,16743679,0.199,7,Epidemiology,Q4
Chinese Journal of Gastrointestinal Surgery,16710274,0.199,18,Surgery,Q3
Collected Papers of the Faculty of Law of the University of Rijeka,18468314,0.199,3,Law,Q3
Comunicata Scientiae,21775133,0.199,19,Agricultural and Biological Sciences,Q3
Eunomia. Revista en Cultura de la Legalidad,22536655,0.199,7,Gender Studies,Q3
Fluid Dynamics and Materials Processing,1555256X,0.199,21,Materials Science,Q4
"French Politics, Culture and Society",15376370,0.199,8,Cultural Studies,Q2
International Journal of Engineering Systems Modelling and Simulation,17559766,0.199,17,Engineering,Q3
International Journal of Environmental Science and Development,20100264,0.199,11,Environmental Science,Q4
International Journal of Human Resources Development and Management,14656612,0.199,20,Organizational Behavior and Human Resource Management,Q4
International Journal of Public Policy,17400600,0.199,17,Political Science and International Relations,Q3
International Journal of School Health,23455152,0.199,9,"Public Health, Environmental and Occupational Health",Q4
Journal of Contemporary Central and Eastern Europe,25739638,0.199,18,Cultural Studies,Q2
Journal of Curriculum and Teaching,19272685,0.199,10,Education,Q4
Journal of Surgical Case Reports,20428812,0.199,18,Surgery,Q3
Journal of the Institute of Conservation,19455232,0.199,15,Conservation,Q2
Journal on Interactive Systems,27637719,0.199,8,Computer Science Applications,Q4
Latvian Journal of Physics and Technical Sciences,08688257,0.199,15,Engineering,Q3
Mechatronic Systems and Control,25611771,0.199,20,Computer Science Applications,Q4
Medical Letter on Drugs and Therapeutics,0025732X,0.199,22,Pharmacology,Q3
Novi Sad Journal of Mathematics,14505444,0.199,14,Mathematics,Q4
Nutricion Clinica y Dietetica Hospitalaria,02116057,0.199,16,Medicine,Q4
Ogigia,18873731,0.199,6,Literature and Literary Theory,Q1
Oral Science International,13488643,0.199,17,Otorhinolaryngology,Q3
Pacific Focus,12254657,0.199,16,Political Science and International Relations,Q3
PASIPHAE,19740565,0.199,4,Classics,Q1
Proceedings - Graphics Interface,07135424,0.199,57,Computer Graphics and Computer-Aided Design,-
Progress in Biomedical Optics and Imaging - Proceedings of SPIE,16057422,0.199,70,"Atomic and Molecular Physics, and Optics",-
Psychologie Francaise,00332984,0.199,19,Psychology,Q4
Religion and Human Rights,18710328,0.199,11,Religious Studies,Q2
"Revista de Derecho de la Seguridad Social, Laborum",23870370,0.199,4,Law,Q3
Revista Espanola de Geriatria y Gerontologia,0211139X,0.199,30,Aging,Q4
Revista Espanola de Nutricion Humana y Dietetica,21731292,0.199,15,Food Science,Q3
Revue Francaise de Science Politique,00352950,0.199,35,Political Science and International Relations,Q3
Revue Roumaine de Linguistique,00353957,0.199,11,Linguistics and Language,Q2
SCRIPTA,23404841,0.199,3,Literature and Literary Theory,Q1
Serials Review,00987913,0.199,27,Library and Information Sciences,Q3
Signos Historicos,16654420,0.199,5,History,Q2
South African Journal of Bioethics and Law,19997639,0.199,8,Health Professions,Q3
Studi Ispanici,0585492X,0.199,2,Literature and Literary Theory,Q1
Tierarztliche Praxis Ausgabe G: Grosstiere - Nutztiere,14341220,0.199,22,Food Animals,Q3
Tsukuba Journal of Mathematics,03874982,0.199,4,Mathematics,Q4
Voprosy Pitaniia,26587440,0.199,22,Medicine,Q4
Wiadomosci Konserwatorskie,08602395,0.199,10,Architecture,Q2
Yankuang Ceshi,02545357,0.199,12,Analytical Chemistry,Q4
Acta Baltica Historiae et Philosophiae Scientiarum,22282009,0.198,8,History,Q2
Acta Polytechnica CTU Proceedings,23365382,0.198,7,Applied Mathematics,-
Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,12118516,0.198,27,Agricultural and Biological Sciences,Q3
Aging Medicine and Healthcare,26638851,0.198,24,Geriatrics and Gerontology,Q4
American Review of Canadian Studies,02722011,0.198,19,"Geography, Planning and Development",Q3
Anais do Museu Paulista,01014714,0.198,4,Archeology,Q2
Asia-Pacific Journal of Innovation in Hospitality and Tourism,22891471,0.198,9,"Geography, Planning and Development",Q3
BELGEO,13772368,0.198,20,"Geography, Planning and Development",Q3
Brazilian Journal of International Law,2236997X,0.198,6,Law,Q3
Caldasia,03665232,0.198,19,Agricultural and Biological Sciences,Q3
Comparative Exercise Physiology,17552540,0.198,20,Veterinary,Q3
Current Chemical Biology,22127968,0.198,26,Biochemistry,Q3
Data in Brief,23523409,0.198,60,Multidisciplinary,Q3
Desde el Sur,20762674,0.198,6,Cultural Studies,Q2
EAI Endorsed Transactions on Internet of Things,24141399,0.198,7,Engineering,Q3
Estudios Demograficos y Urbanos,01867210,0.198,11,Demography,Q3
European Journal of Biology,26022575,0.198,6,"Biochemistry, Genetics and Molecular Biology",Q4
European Journal of Horticultural Science,16114426,0.198,38,Horticulture,Q3
Florida Tax Review,10663487,0.198,5,Law,Q3
Iheringia - Serie Botanica,00734705,0.198,21,Plant Science,Q4
Iheringia - Serie Zoologia,00734721,0.198,33,Animal Science and Zoology,Q4
Indian Journal of Medical Ethics,09755691,0.198,24,Health Policy,Q4
International Energy Journal,1513718X,0.198,20,Energy,Q4
International Journal of Continuing Engineering Education and Life-Long Learning,15604624,0.198,26,Engineering,Q3
International Journal of Global Energy Issues,17415128,0.198,30,Energy Engineering and Power Technology,Q4
International Journal of High-Rise Buildings,22889930,0.198,13,Architecture,Q2
International Journal of Phytopathology,23131241,0.198,7,Agricultural and Biological Sciences,Q3
"International Journal of Sensors, Wireless Communications and Control",22103287,0.198,16,Computer Networks and Communications,Q4
International Journal of Virtual and Personal Learning Environments,19478526,0.198,13,Computer Science Applications,Q4
Israel Journal of Plant Sciences,07929978,0.198,40,Agronomy and Crop Science,Q4
Journal of Animal and Plant Sciences,10187081,0.198,46,Animal Science and Zoology,Q4
Journal of Computational Finance,14601559,0.198,17,Applied Mathematics,Q4
Journal of Intellectual Disabilities and Offending Behaviour,20508824,0.198,15,Clinical Psychology,Q4
Journal of Interdisciplinary Studies in Education,21662681,0.198,8,Cultural Studies,Q2
Journal of Language Modelling,2299856X,0.198,6,Linguistics and Language,Q2
Journal of Modern Jewish Studies,14725886,0.198,11,Cultural Studies,Q2
Journal of Occupational Health and Epidemiology,22520902,0.198,6,Epidemiology,Q4
Journal of Philosophical Theological Research,17359791,0.198,3,Philosophy,Q2
Journal of Tea Science,1000369X,0.198,12,Agricultural and Biological Sciences,Q3
Journal of Textile Engineering,13468235,0.198,16,Materials Science,Q4
Lasers in Dental Science,23672587,0.198,10,Dentistry,Q3
Mental Health: Global Challenges,26122138,0.198,2,Health Professions,Q3
Metal Powder Report,18734065,0.198,33,Automotive Engineering,Q3
Natural Resources Journal,00280739,0.198,31,Law,Q3
Norsk Antropologisk Tidsskrift,15042898,0.198,7,Anthropology,Q3
Oceanologia et Limnologia Sinica,0029814X,0.198,17,Aquatic Science,Q4
Ochrona Srodowiska i Zasobow Naturalnych,12307831,0.198,10,Environmental Science,Q4
Physical Sciences and Technology,24096121,0.198,4,Condensed Matter Physics,Q4
PNRPU Mechanics Bulletin,22249893,0.198,18,Computational Mechanics,Q3
"Proceedings of International Seminar/Workshop on Direct and Inverse Problems of Electromagnetic and Acoustic Wave Theory, DIPED",21653585,0.198,10,Acoustics and Ultrasonics,-
Przeglad Nauk Historycznych,24507660,0.198,4,History,Q2
Psychoanalytic Review,19433301,0.198,22,Clinical Psychology,Q4
Qualitative Research in Medicine and Healthcare,25322044,0.198,5,Health Policy,Q4
Radiologic Technology,00338397,0.198,29,Radiological and Ultrasound Technology,Q4
Revista de Teledeteccion,11330953,0.198,15,"Geography, Planning and Development",Q3
